建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查期間,自銷售期間,代銷售期間,坐落基地,建照核發日期,建造執照,完成建物第一次登記日期,詳細內容,功能,備註,city,district,query_url,fetched_at
理仁奕舍,西屯區大墩二十街,理仁建設股份有限公司,157,第三種商業區,店鋪、集合住宅,鋼筋混凝土造,1110406,1110415~售完為止,,大墩段339地號,1110329,111中都建字第00688號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
豐邑PARK ONE,西屯區啟航路,豐邑建設股份有限公司,188,第二種文化商業區,店鋪、辦公類場所、集合住宅,鋼筋混凝土,1101217,1110115~1181231,1110115~1181231,文商段22地號,1100708,110中都建字第01395號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
帝闊大玥,西屯區同志巷,帝闊建設有限公司 負責人：羅時儒,43,農業區建地目,住宅,鋼筋混凝土造,1110216,無,1110215~1121231,廣昌段160地號,1101217,110中都建字第02527號,1140710,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
達麗拾穗,西屯區台灣大道與何厝街口,達麗建設事業股份有限公司 負責人：謝志長,182,第二種住宅區，第三種住宅區,H2集合住宅、G3店舖,鋼筋混凝土造,1130904,無,1130801~1210223,何安段953地號,1130618,113中都建字第01038號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
東大萌,西屯區台灣大道四段福聯街22巷,品良建設有限公司,56,住宅區,店餔、集合式住宅,鋼筋混凝土造,1100831,無,1100801~1110831,國安段303-4地號,1081106,108中都建字第02253號,1131008,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
惠田映悅,西屯區台灣大道四段1270號旁,惠田開發股份有限公司,45,第一之一種住宅區,H2集合住宅,鋼筋混凝土造,1131101,無,1131025~1150930,民安段1868-2地號,1111123,111中都建字第02367號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
育堂序麗,西屯區台灣大道二段,育堂建設股份有限公司,133,"第二種住宅區,第三種住宅區",H2集合住宅,鋼筋混凝土造,1140610,1140503~ó·,"1130503~�,或廣告預算用盡為止",何安段961地號,1130920,113中都建字第01607號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
台灣隱賦,西屯區台灣大道三段96號旁,鉅陞國際開發股份有限公司、迎豐建設股份有限公司、長耀建設股份有限公司、海悅建設股份有限公司(負責人:褚學忠等如附件),284,第二種住宅區、第五種住宅區,店鋪與集合住宅,鋼筋混凝土,1111130,無,1111201~1130531,惠來厝段305地號,1111121,111中都建字第02358號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
市政壹號廣場,西屯區台灣大道三段,臺億建築經理股份有限公司,890,第六種新市政中心專用區,辦公室、店舖,鋼骨鋼筋混凝土造、鋼筋混凝土造,1130801,無,1130701~1181231,惠民段7地號,1120130,112中都建字第00229號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
允將TST台灣之鑽,西屯區台灣大道三段,允將建設股份有限公司,139,第四種新市政中心專用區,G3店鋪、G2辦公室、B2商場,鋼骨造、鋼筋混凝土造,1130131,無,1130201~1140731,惠國段94地號,1120502,112中都建字第00696號,,申報人及定型化契約,預售屋查詢,,臺中市,西屯區,https://lvr.land.moi.gov.tw/jsp/list.jsp?city=臺中市&district=西屯區,2026-04-13T14:45:09.290446+00:00
