AA11,addr,apply,applydate,b,chkdate,city,e,f,house,id,idlist,lat,ldate,license,lon,ma,mark,name,pimg,pu,s,sn,subid,town
第二種住宅區,西屯區寧夏東三街,裕翔建設股份有限公司,1130521,"中仁段370地號,中仁段378-6地號",1130625,B,1130630~1140630,,43,G1B011305210003,"G1B011305210003,00,裕翔建設股份有限公司,1130521",24.167166444759104,1130111,113中都建字第00090,120.66203175873034,鋼筋混凝土造,裕翔建設股份有限公司,裕翔織光,build_case.png,住商用,1130630~1140630,58,00,B06
農業區建地目,西屯區水尾巷,鈺陞建設開發有限公司,1130603,"協成段245地號,協成段245-2地號,協成段245-11地號,協成段245-12地號,協成段245-13地號,協成段245-14地號,協成段245-15地號,協成段245-16地號,協成段245-3地號,協成段245-4地號,協成段245-5地號,協成段245-6地號,協成段245-7地號,協成段245-8地號,協成段245-9地號,協成段245-10地號",1130909,B,1130701~1141231,,15,G1B011306030001,"G1B011306030001,05,鈺陞建設開發有限公司,1130906",24.168554043446335,1130418,113中都建字第00673號,120.61508390864796,鋼筋混凝土造,鈺陞建設開發有限公司,鈺陞璞玉,build_case.png,H2住宅,,59,05,B06
農業區建地目,西屯區廣興巷,大樁建設股份有限公司,1130623,"廣福段513地號,廣福段513-1地號,廣福段513-10地號,廣福段513-11地號,廣福段513-12地號,廣福段513-13地號,廣福段513-14地號,廣福段513-15地號,廣福段513-16地號,廣福段513-17地號,廣福段513-18地號,廣福段513-2地號,廣福段513-3地號,廣福段513-4地號,廣福段513-5地號,廣福段513-6地號,廣福段513-7地號,廣福段513-8地號,廣福段513-9地號",1150319,B,無,,18,G1B011306230001,"G1B011306230001,02,大樁建設股份有限公司,1150318",24.19793614531539,1130207,113中都建字第00310號,120.645255588057,鋼筋混凝土造,大樁建設股份有限公司,大樁園NO.8,build_case.png,集合住宅,1130620~1141231,60,02,B06
第三之二種住宅區,西屯區惠安巷,棨揚開發建設股份有限公司,1130715,"惠來厝段474-12地號,惠來厝段474-14地號,惠來厝段544地號,惠來厝段555地號,惠來厝段556地號",1130830,B,無,,29,G1B011307150003,"G1B011307150003,00,棨揚開發建設股份有限公司,1130715",24.16818970805606,1111207,111中都建字第02481號,120.64738486185932,鋼筋混凝土造,棨揚開發建設股份有限公司,青海新宿,build_case.png,集合住宅,1130708~1141231,61,00,B06
第二種創新研發專用區,西屯區福星北路與福星北路82巷路口,遠雄建設事業股份有限公司,1130729,廣明段866地號,1131119,B,無,,148,G1B011307290001,"G1B011307290001,05,遠雄建設事業股份有限公司,1131017",24.186052864855107,1120923,112中都建字第01471號,120.64491442600821,鋼筋混凝土造,遠雄建設事業股份有限公司,遠雄洄山行,build_case.png,H2-集合住宅、G3-店舖,"1120915~1150729,至取得使用執照為止",62,05,B06
第六種新市政中心專用區,西屯區台灣大道三段,博元建設股份有限公司,1130801,"惠民段7地號,惠民段9地號,惠民段9-1地號,惠民段9-2地號",1140402,B,無,,890,G2B011308010001,"G2B011308010001,01,博元建設股份有限公司,1140324",24.165893245495194,1120130,112中都建字第00229號,120.64220477613047,鋼骨鋼筋混凝土造、鋼筋混凝土造,臺億建築經理股份有限公司,市政壹號廣場,build_case.png,辦公室、店舖,1130701~1181231,63,01,B06
第二種生態住宅專用區,西屯區環中路二段,浩瀚開發建設股份有限公司,1130806,生態段62地號,1130923,B,自1130820起至使用執照取得後12個月,,142,G1B011308060002,"G1B011308060002,00,浩瀚開發建設股份有限公司,1130806",24.19184341722036,1130715,113年中都建字01213號,120.6422505368961,鋼筋混凝土造,浩瀚開發建設股份有限公司,浩瀚豐森態,build_case.png,H2集合住宅,自1130820起至使用執照取得後12個月,64,00,B06
第二種住宅區,西屯區文華路與西安街277巷77弄,富宇建設股份有限公司,1130809,"廣明段605地號,廣明段605-2地號,廣明段607地號,廣明段607-1地號",1131014,B,無,,280,G1B011308090002,"G1B011308090002,00,富宇建設股份有限公司,1130809",24.184007358697286,1130619,113中都建字第01044號,120.64669178094691,鋼筋混凝土造,富宇建設股份有限公司 負責人 張世欣,富宇-富美圖,build_case.png,H2集合住宅,"1130801~自完售止,113年08月01日至全案完銷之日",65,00,B06
第二種住宅區,西屯區智惠街,磐居建設有限公司,1130827,惠來厝段596地號,1131104,B,1131001~1140930,,8,G1B011308270002,"G1B011308270002,02,磐居建設有限公司,1131028",24.167493414925104,1120627,112中都建字第00985號,120.64693406621207,鋼筋混凝土造,磐居建設有限公司,磐居智慧家,build_case.png,集合式住宅,,66,02,B06
第二種住宅區,西屯區中清路二段1250巷135號,品盛建設開發股份有限公司,1130828,"廣昌段609-2地號,廣昌段609-3地號",1131017,B,"1131008~1191030,售完為止",,12,G1B011308280004,"G1B011308280004,00,品盛建設開發股份有限公司,1130828",24.197248375645092,1130731,113中都建字第01332號,120.66043657274948,鋼筋混凝土造,品盛建設開發股份有限公司,品天璽(丙棟),build_case.png,H2集合住宅,,67,00,B06
第二種住宅區,西屯區中清路二段1250巷135號,品盛建設開發股份有限公司,1130828,廣昌段609地號,1131017,B,"1131008~1190930,售完為止",,1,G1B011308280005,"G1B011308280005,00,品盛建設開發股份有限公司,1130828",24.197275089064075,1130731,113中都建字第01330號,120.66026915791802,鋼筋混凝土造,品盛建設開發股份有限公司,品天璽(甲棟),build_case.png,H2住宅,,68,00,B06
第二種住宅區,西屯區中清路二段1250巷135號,品盛建設開發股份有限公司,1130828,廣昌段609-1地號,1131017,B,"1131008~1190930,售完為止",,1,G1B011308280002,"G1B011308280002,00,品盛建設開發股份有限公司,1130828",24.19729327126569,1130731,113中都建字第01331號,120.66031832859757,鋼筋混凝土造,品盛建設開發股份有限公司,品天璽(乙棟),build_case.png,H2住家用,,69,00,B06
第三種商業區,西屯區朝馬路與朝富二街與朝馬一街交叉口,惠昇建設股份有限公司,1130903,惠安段70地號,1130924,B,1130903~·,,329,G1B011309030004,"G1B011309030004,00,惠昇建設股份有限公司,1130903",24.168960280277354,1040212,104中都建字第00392號,120.63714749729898,鋼骨鋼筋混凝土造,惠昇建設股份有限公司,惠宇大疆,build_case.png,H2集合住宅、G3店鋪,,70,00,B06
